agent_id,train_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,time_period,volume,cost,travel_time,distance,node_sequence,time_sequence
1,1,1,2,1000901,4000932,fast_train,0901_0931,1,30,30,30,1000901;2000913;3000918;4000931;,0901;0913;0918;0931;
2,1,1,2,1000902,4000933,fast_train,0902_0932,1,30,30,30,1000902;2000914;3000919;4000932;,0902;0914;0919;0932;
3,1,1,2,1000900,4000931,fast_train,0900_0930,1,30,30,30,1000900;2000912;3000917;4000930;,0900;0912;0917;0930;
4,1,1,2,1000909,4000940,fast_train,0909_0939,1,30,30,30,1000909;2000921;3000926;4000939;,0909;0921;0926;0939;
5,1,1,2,1000908,4000939,fast_train,0908_0938,1,30,30,30,1000908;2000920;3000925;4000938;,0908;0920;0925;0938;
6,1,1,2,1000917,4000948,fast_train,0917_0947,1,30,30,30,1000917;2000929;3000934;4000947;,0917;0929;0934;0947;
7,1,1,2,1000913,4000944,fast_train,0913_0943,1,30,30,30,1000913;2000925;3000930;4000943;,0913;0925;0930;0943;
8,1,1,2,1000906,4000937,fast_train,0906_0936,1,30,30,30,1000906;2000918;3000923;4000936;,0906;0918;0923;0936;
9,1,1,2,1000924,4000955,fast_train,0924_0954,1,30,30,30,1000924;2000936;3000941;4000954;,0924;0936;0941;0954;
10,1,1,2,1000914,4000945,fast_train,0914_0944,1,30,30,30,1000914;2000926;3000931;4000944;,0914;0926;0931;0944;
11,1,1,2,1000916,4000947,fast_train,0916_0946,1,30,30,30,1000916;2000928;3000933;4000946;,0916;0928;0933;0946;
12,2,1,2,1000908,4000953,slow_train,0908_0952,1,44,44,44,1000908;2000924;2000926;3000936;3000938;4000952;,0908;0924;0926;0936;0938;0952;
13,2,1,2,1000936,4001024,slow_train,0936_1023,1,47,47,47,1000936;2000952;2000954;3001005;3001007;4001023;,0936;0952;0954;1005;1007;1023;
14,2,1,2,1000916,4001004,slow_train,0916_1003,1,47,47,47,1000916;2000932;2000934;3000945;3000947;4001003;,0916;0932;0934;0945;0947;1003;
15,2,1,2,1000924,4001012,slow_train,0924_1011,1,47,47,47,1000924;2000940;2000942;3000953;3000955;4001011;,0924;0940;0942;0953;0955;1011;
16,2,1,2,1000900,4000949,slow_train,0900_0948,1,48,48,48,1000900;2000916;2000919;3000930;3000932;4000948;,0900;0916;0919;0930;0932;0948;
17,2,1,2,1000909,4000957,slow_train,0909_0956,1,47,47,47,1000909;2000925;2000927;3000938;3000940;4000956;,0909;0925;0927;0938;0940;0956;
18,2,1,2,1000925,4001013,slow_train,0925_1012,1,47,47,47,1000925;2000941;2000943;3000954;3000956;4001012;,0925;0941;0943;0954;0956;1012;
19,2,1,2,1000918,4001006,slow_train,0918_1005,1,47,47,47,1000918;2000934;2000936;3000947;3000949;4001005;,0918;0934;0936;0947;0949;1005;
20,2,1,2,1000932,4001020,slow_train,0932_1019,1,47,47,47,1000932;2000948;2000950;3001001;3001003;4001019;,0932;0948;0950;1001;1003;1019;
21,2,1,2,1000926,4001014,slow_train,0926_1013,1,47,47,47,1000926;2000942;2000944;3000955;3000957;4001013;,0926;0942;0944;0955;0957;1013;
22,2,1,2,1000922,4001010,slow_train,0922_1009,1,47,47,47,1000922;2000938;2000940;3000951;3000953;4001009;,0922;0938;0940;0951;0953;1009;
23,2,1,2,1000917,4001005,slow_train,0917_1004,1,47,47,47,1000917;2000933;2000935;3000946;3000948;4001004;,0917;0933;0935;0946;0948;1004;
24,3,1,2,1001012,4001043,fast_train,1012_1042,1,30,30,30,1001012;2001024;3001029;4001042;,1012;1024;1029;1042;
25,3,1,2,1000909,4000940,fast_train,0909_0939,1,30,30,30,1000909;2000921;3000926;4000939;,0909;0921;0926;0939;
26,3,1,2,1000908,4000939,fast_train,0908_0938,1,30,30,30,1000908;2000920;3000925;4000938;,0908;0920;0925;0938;
27,3,1,2,1000917,4000948,fast_train,0917_0947,1,30,30,30,1000917;2000929;3000934;4000947;,0917;0929;0934;0947;
28,3,1,2,1000910,4000941,fast_train,0910_0940,1,30,30,30,1000910;2000922;3000927;4000940;,0910;0922;0927;0940;
29,3,1,2,1000913,4000944,fast_train,0913_0943,1,30,30,30,1000913;2000925;3000930;4000943;,0913;0925;0930;0943;
30,3,1,2,1000906,4000937,fast_train,0906_0936,1,30,30,30,1000906;2000918;3000923;4000936;,0906;0918;0923;0936;
31,3,1,2,1000924,4000955,fast_train,0924_0954,1,30,30,30,1000924;2000936;3000941;4000954;,0924;0936;0941;0954;
32,3,1,2,1000914,4000945,fast_train,0914_0944,1,30,30,30,1000914;2000926;3000931;4000944;,0914;0926;0931;0944;
33,3,1,2,1000916,4000947,fast_train,0916_0946,1,30,30,30,1000916;2000928;3000933;4000946;,0916;0928;0933;0946;
34,4,1,2,1001048,4001136,slow_train,1048_1135,1,47,47,47,1001048;2001104;2001106;3001117;3001119;4001135;,1048;1104;1106;1117;1119;1135;
35,4,1,2,1000916,4001004,slow_train,0916_1003,1,47,47,47,1000916;2000932;2000934;3000945;3000947;4001003;,0916;0932;0934;0945;0947;1003;
36,4,1,2,1000924,4001012,slow_train,0924_1011,1,47,47,47,1000924;2000940;2000942;3000953;3000955;4001011;,0924;0940;0942;0953;0955;1011;
37,4,1,2,1000900,4000949,slow_train,0900_0948,1,48,48,48,1000900;2000916;2000919;3000930;3000932;4000948;,0900;0916;0919;0930;0932;0948;
38,4,1,2,1000909,4000957,slow_train,0909_0956,1,47,47,47,1000909;2000925;2000927;3000938;3000940;4000956;,0909;0925;0927;0938;0940;0956;
39,4,1,2,1000925,4001013,slow_train,0925_1012,1,47,47,47,1000925;2000941;2000943;3000954;3000956;4001012;,0925;0941;0943;0954;0956;1012;
40,4,1,2,1000918,4001006,slow_train,0918_1005,1,47,47,47,1000918;2000934;2000936;3000947;3000949;4001005;,0918;0934;0936;0947;0949;1005;
41,4,1,2,1000932,4001020,slow_train,0932_1019,1,47,47,47,1000932;2000948;2000950;3001001;3001003;4001019;,0932;0948;0950;1001;1003;1019;
42,4,1,2,1000926,4001014,slow_train,0926_1013,1,47,47,47,1000926;2000942;2000944;3000955;3000957;4001013;,0926;0942;0944;0955;0957;1013;
43,4,1,2,1000922,4001010,slow_train,0922_1009,1,47,47,47,1000922;2000938;2000940;3000951;3000953;4001009;,0922;0938;0940;0951;0953;1009;
44,4,1,2,1000917,4001005,slow_train,0917_1004,1,47,47,47,1000917;2000933;2000935;3000946;3000948;4001004;,0917;0933;0935;0946;0948;1004;
